id,p_Attr,c_Attr,type
1,景點與地標,景點和地標,Attr
2,景點與地標,古蹟,Attr
3,景點與地標,建築物,Attr
4,景點與地標,宗教聖地,Attr
5,景點與地標,景觀徒步區,Attr
6,景點與地標,史跡徒步區,Attr
7,景點與地標,農場,Attr
8,景點與地標,教育景點,Attr
9,景點與地標,瞭望台,Attr
10,景點與地標,橋樑,Attr
11,景點與地標,地區,Attr
12,景點與地標,觀景台和觀景塔,Attr
13,景點與地標,政府建築,Attr
14,景點與地標,古代遺址,Attr
15,景點與地標,燈塔,Attr
16,景點與地標,碼頭和木板人行道,Attr
17,景點與地標,紀念碑和雕像,Attr
18,景點與地標,教堂和大教堂,Attr
19,景點與地標,競技場和體育場館,Attr
20,景點與地標,大學與學校,Attr
21,景點與地標,神秘景點,Attr
22,景點與地標,農場,Attr
23,景點與地標,市政中心,Attr
24,景點與地標,自駕觀景遊,Attr
25,景點與地標,其他牧場和農場,Attr
26,景點與地標,噴泉,Attr
27,景點與地標,城堡,Attr
28,景點與地標,礦區,Attr
29,景點與地標,船舶,Attr
30,景點與地標,軍事基地和設施,Attr
31,自然與公園,公園,Attr
32,自然與公園,水域,Attr
33,自然與公園,登山步道,Attr
34,自然與公園,海灘,Attr
35,自然與公園,溫泉和間歇泉,Attr
36,自然與公園,山脈,Attr
37,自然與公園,單車專用道,Attr
38,自然與公園,花園,Attr
39,自然與公園,島嶼,Attr
40,自然與公園,森林,Attr
41,自然與公園,地質構造,Attr
42,自然與公園,自然和野生動物區,Attr
43,自然與公園,國家公園,Attr
44,自然與公園,瀑布,Attr
45,自然與公園,山谷,Attr
46,自然與公園,大洞穴和洞窟,Attr
47,自然與公園,動物園,Attr
48,自然與公園,水壩,Attr
49,自然與公園,遊樂場,Attr
50,自然與公園,其他自然景觀與公園,Attr
51,自然與公園,遊艇碼頭,Attr
52,自然與公園,水族館,Attr
53,自然與公園,珊瑚礁,Attr
54,自然與公園,州立公園,Attr
55,自然與公園,摩托車專用道,Attr
56,自然與公園,滑雪和滑雪板區,Attr
57,自然與公園,火山,Attr
58,博物館,特色博物館,Attr
59,博物館,歷史博物館,Attr
60,博物館,藝術博物館,Attr
61,博物館,美術館,Attr
62,博物館,軍事博物館,Attr
63,博物館,科學博物館,Attr
64,博物館,兒童博物館,Attr
65,博物館,自然歷史博物館,Attr
66,動物園和水族館,動物園,Attr
67,動物園和水族館,水族館,Attr
68,水上樂園和遊樂場,主題樂園,Attr
69,水上樂園和遊樂場,水上樂園,Attr
70,Spa,Spa,Attr
71,Spa,健康/健身俱樂部和健身中心,Attr
72,Spa,溫泉,Attr
73,Spa,瑜伽與皮拉提斯,Attr
74,夜生活,酒吧和夜店,Attr
75,夜生活,咖啡館,Attr
76,夜生活,品酒酒吧,Attr
77,夜生活,舞蹈俱樂部和迪斯可舞廳,Attr
78,夜生活,酒吧、夜店和酒館遊覽,Attr
79,休閒與娛樂,遊戲和娛樂中心,Attr
80,休閒與娛樂,遊樂場,Attr
81,休閒與娛樂,電影院,Attr
82,休閒與娛樂,繪畫和陶藝工作室,Attr
83,休閒與娛樂,角色體驗,Attr
84,休閒與娛樂,體育館,Attr
85,休閒與娛樂,其他休閒與娛樂,Attr
86,休閒與娛樂,農夫市場,Attr
87,休閒與娛樂,騎乘和活動,Attr
