id,site_name,site_address,comments,tags,type,
TD000, 大波池 Dapo Pond,台灣 池上鄉大坡山下,38 則評論,自然與公園 水域,site,
TD001, 綠島鄉 Green Island,台灣 臺東市 台東以東33公里,355 則評論,自然與公園 島嶼,site,
TD002, 池上環圳自行車道 Chishang Huanzhen Bicycle Path,台灣 池上鄉,20 則評論,戶外活動 自然與公園 單車專用道,site,
TD003, 台東森林公園 Taitung Forest Park,台灣 臺東市 台東市華泰路300號 950,561 則評論,自然與公園,site,
TD004, 玉富自行車道 Yufu Bike Path,台灣 玉里鎮玉里車站前康樂街,10 則評論,戶外活動 自然與公園 單車專用道,site,
TD005, 綠島小長城 Green Island Little Great Wall,台灣 綠島鄉,10 則評論,景點與地標 景點和地標,site,
TD006, 多良火車站 Duoliang Station,台灣 瀧溪路8-1號 多良村 963,124 則評論,景點與地標 景點和地標 觀景台和觀景塔,site,
TD007, 金樽漁港 Chintsun Fish Harbor,台灣 東河鄉冬河村,3 則評論,景點與地標 景點和地標,site,
TD008, 臺灣國際熱氣球嘉年華 Taiwan International Balloon Fiesta,台灣 台東鹿野高台,118 則評論,活動 文化活動,site,
TD009, 綠島石朗 Lvdaoshilang,台灣 綠島鄉環島公路17公里處路旁,15 則評論,自然與公園 戶外活動,site,
TD010, 三仙台風景區 Sanxiantai,台灣 成功鎮東北,390 則評論,自然與公園 島嶼 水域,site,
TD011, 台東伯朗大道 Taitung Brown's Road,台灣 池上鄉錦新2號,523 則評論,景點與地標 景點和地標,site,
TD012, 鹿野高台 Lu Yeh High Land,台灣 鹿野鄉永安村高台路42巷145號,290 則評論,景點與地標 農場 瞭望台,site,
TD013, 杉原-富山復魚區 Shayuan - Fushan Fish Reserve,台灣 卑南鄉富山村杉原24號,48 則評論,自然與公園 水域,site,
TD014, 知本溫泉 Zhibenwenquan,台灣 台東市西南17公里,44 則評論,自然與公園 溫泉和間歇泉,site,
TD015, 國立臺灣史前文化博物館 National Museum of Prehistory,台灣 臺東市 台東市博物館路1號,129 則評論,博物館 歷史博物館,site,
TD016, 鐵花村 Tiehuacun,台灣 臺東市 新生路135巷26號,341 則評論,,site,
TD017, 關山環鎮自行車道 Guanshan Bicycle Path,台灣 關山鎮新福里隆盛路1號,32 則評論,戶外活動 自然與公園 單車專用道,site,
TD018, 蘭嶼 Orchid Island（Lanyu）,台灣,138 則評論,自然與公園 島嶼,site,
TD019, 哈巴狗 Habagou Island,台灣 綠島鄉環島公路8公里處,9 則評論,自然與公園 地質構造,site,
TD020, 池上鄉農會四季花海 Chishang Town Nong Hui Si Ji Hua Hai,台灣 池上鄉新興村七鄰85-6號 958,3 則評論,自然與公園 景點與地標,site,
